bandwidth,delay
0.0,10000.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
0.0,10000.0
1.0,10000.0
1.0,10000.0
1.0,10000.0
1.0,10000.0
1.0,10000.0
1.0,10000.0
1.0,10000.0
1.0,10000.0
1.0,10000.0
1.0,10000.0
2.0,5000.0
2.0,5000.0
2.0,5000.0
2.0,5000.0
2.0,5000.0
2.0,5000.0
2.0,5000.0
2.0,5000.0
2.0,5000.0
2.0,5000.0
3.0,3333.333333333333
3.0,3333.333333333333
3.0,3333.333333333333
3.0,3333.333333333333
3.0,3333.333333333333
3.0,3333.333333333333
3.0,3333.333333333333
3.0,3333.333333333333
3.0,3333.333333333333
3.0,3333.333333333333
4.0,2500.0
4.0,2500.0
4.0,2500.0
4.0,2500.0
4.0,2500.0
4.0,2500.0
4.0,2500.0
4.0,2500.0
4.0,2500.0
4.0,2500.0
5.0,2000.0
5.0,2000.0
5.0,2000.0
5.0,2000.0
5.0,2000.0
5.0,2000.0
5.0,2000.0
5.0,2000.0
5.0,2000.0
5.0,2000.0
6.0,1666.6666666666665
6.0,1666.6666666666665
6.0,1666.6666666666665
6.0,1666.6666666666665
6.0,1666.6666666666665
6.0,1666.6666666666665
6.0,1666.6666666666665
6.0,1666.6666666666665
6.0,1666.6666666666665
6.0,1666.6666666666665
7.0,1428.5714285714284
7.0,1428.5714285714284
7.0,1428.5714285714284
7.0,1428.5714285714284
7.0,1428.5714285714284
7.0,1428.5714285714284
7.0,1428.5714285714284
7.0,1428.5714285714284
7.0,1428.5714285714284
7.0,1428.5714285714284
8.0,1250.0
8.0,1250.0
8.0,1250.0
8.0,1250.0
8.0,1250.0
8.0,1250.0
8.0,1250.0
8.0,1250.0
8.0,1250.0
8.0,1250.0
9.0,1111.111111111111
9.0,1111.111111111111
9.0,1111.111111111111
9.0,1111.111111111111
9.0,1111.111111111111
9.0,1111.111111111111
9.0,1111.111111111111
9.0,1111.111111111111
9.0,1111.111111111111
9.0,1111.111111111111
