timestamp,numberOfSuspectedNodes
1505214515899,0
1505214518392,0
1505214520452,91
1505214522492,47
1505214524532,71
1505214526582,46
1505214528622,39
1505214530662,6
1505214532683,2
1505214534712,2
1505214536732,3
1505214538752,3
1505214540783,3
1505214542803,3
1505214544842,4
1505214546862,4
1505214548882,4
1505214550912,4
1505214552943,4
1505214554972,6
1505214556993,6
1505214559012,6
1505214561032,6
1505214563052,8
1505214565083,9
1505214567102,10
1505214569122,11
1505214571152,12
1505214573172,13
1505214575192,12
1505214577222,12
1505214579242,15
1505214581263,16
1505214583282,17
1505214585302,17
1505214587323,17
1505214589343,17
1505214591362,19
1505214593382,20
1505214595402,22
1505214597422,22
1505214599442,23
1505214601463,23
1505214603482,26
1505214605502,25
1505214607523,25
1505214609542,25
1505214611562,27
1505214613583,26
1505214615603,26
1505214617622,27
1505214619642,28
1505214621662,28
1505214623682,29
1505214625703,29
1505214627722,29
1505214629742,30
1505214631762,30
1505214633782,31
